# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
spin|verb|To turn round quickly (spun, spun)|umikot|Umikot nang mabilis|The wheel spun freely.
split|verb|To divide into parts (split, split)|hatiin|Bahagihin|We split the bill evenly.
spread|verb|To cover a wider area (spread, spread)|kumalat|Sumakop ng mas malawak|The news spread quickly.
steal|verb|To take without permission (stole, stolen)|magnakaw|Kumuha nang walang pahintulot|Someone stole my bike.
stick|verb|To fix with glue or become fixed (stuck, stuck)|idikit|Ikabit gamit ang pandikit|Stick the label on the box.
sting|verb|To hurt with a sharp point (stung, stung)|kagatin|Manakit gamit ang tulis|A bee stung my arm.
strike|verb|To hit or to stop work in protest (struck, struck)|hampasin|Sumuntok o magwelga|Lightning struck the tower.
swear|verb|To promise seriously or use rude words (swore, sworn)|manumpa|Mangakong taimtim o magmura|He swore to tell the truth.
sweep|verb|To clean with a brush (swept, swept)|magwalis|Maglinis gamit ang walis|She swept the floor.
swell|verb|To become larger (swelled, swollen)|mamaga|Lumaki ang sukat|His ankle swelled after the fall.
swing|verb|To move back and forth (swung, swung)|umugoy|Gumalaw pabalik-balik|The gate swung open.
tear|verb|To pull apart into pieces (tore, torn)|punitin|Sirain sa paghila|She tore the letter in half.
throw|verb|To send through the air with your hand (threw, thrown)|ihagis|Ipadala sa hangin gamit ang kamay|Throw me the keys.
thrust|verb|To push suddenly and hard (thrust, thrust)|isaksak|Itulak nang bigla at malakas|He thrust the door open.
tread|verb|To walk or step on something (trod, trodden)|tapakan|Maglakad o yapakan|Do not tread on the grass.
undergo|verb|To experience something difficult (underwent, undergone)|sumailalim|Danasin ang mahirap na bagay|She underwent surgery last week.
uphold|verb|To support or maintain a decision (upheld, upheld)|panatilihin|Suportahan o ipagpatuloy|The court upheld the ruling.
weave|verb|To make cloth by crossing threads (wove, woven)|maghabi|Gumawa ng tela sa paghahabi|They weave baskets by hand.
weep|verb|To cry (wept, wept)|umiyak|Lumuha|She wept with relief.
wind|verb|To turn or twist something (wound, wound)|iikot|Pilipitin o paikutin|Wind the string round the post.

# ---------------- Prefixes & Suffixes ----------------
un-|prefix|Not, or the opposite of|hindi|Panlaping nangangahulugang hindi|Unhappy means not happy.
re-|prefix|Again, or back|muli|Panlaping nangangahulugang muli|To rewrite is to write again.
dis-|prefix|Not, or the reverse of|di-|Panlaping nagpapahiwatig ng kabaligtaran|Disagree means not to agree.
mis-|prefix|Wrongly or badly|mali|Panlaping nangangahulugang mali|To misspell is to spell wrongly.
pre-|prefix|Before|bago|Panlaping nangangahulugang bago|A preview happens before the main event.
post-|prefix|After|pagkatapos|Panlaping nangangahulugang pagkatapos|Postwar means after the war.
sub-|prefix|Under or below|ilalim|Panlaping nangangahulugang sa ilalim|A submarine travels under the sea.
super-|prefix|Above, beyond or very large|higit|Panlaping nangangahulugang higit|A supermarket is a very large market.
inter-|prefix|Between or among|pagitan|Panlaping nangangahulugang sa pagitan|International means between nations.
intra-|prefix|Within|loob|Panlaping nangangahulugang sa loob|Intracity travel stays within the city.
trans-|prefix|Across or through|tawid|Panlaping nangangahulugang patawid|To transport is to carry across.
anti-|prefix|Against or opposed to|laban|Panlaping nangangahulugang laban|An antiwar protest opposes war.
pro-|prefix|In favour of|panig|Panlaping nangangahulugang panig sa|Pro-reform groups support change.
non-|prefix|Not|hindi|Panlaping nangangahulugang hindi|A nonsmoker does not smoke.
over-|prefix|Too much or above|sobra|Panlaping nangangahulugang labis|To overeat is to eat too much.
under-|prefix|Too little or beneath|kulang|Panlaping nangangahulugang kulang|Underpaid means paid too little.
co-|prefix|Together or jointly|kasama|Panlaping nangangahulugang magkasama|A coauthor writes together with another.
ex-|prefix|Former, or out of|dating|Panlaping nangangahulugang dati|An ex-president used to be president.
semi-|prefix|Half or partly|kalahati|Panlaping nangangahulugang kalahati|A semicircle is half a circle.
multi-|prefix|Many|marami|Panlaping nangangahulugang marami|Multicoloured means having many colours.
mono-|prefix|One or single|isa|Panlaping nangangahulugang isa|A monologue is spoken by one person.
bi-|prefix|Two or twice|dalawa|Panlaping nangangahulugang dalawa|Bilingual means speaking two languages.
tri-|prefix|Three|tatlo|Panlaping nangangahulugang tatlo|A triangle has three sides.
auto-|prefix|Self or by itself|sarili|Panlaping nangangahulugang sarili|An autobiography is written about oneself.
micro-|prefix|Very small|napakaliit|Panlaping nangangahulugang napakaliit|A microchip is extremely small.
macro-|prefix|Large scale|malawak|Panlaping nangangahulugang malawakan|Macroeconomics studies the whole economy.
mega-|prefix|Very large|napakalaki|Panlaping nangangahulugang napakalaki|A megacity holds millions of people.
mini-|prefix|Small|maliit|Panlaping nangangahulugang maliit|A minibus carries few passengers.
tele-|prefix|At a distance|malayo|Panlaping nangangahulugang malayuan|Television sends pictures over a distance.
fore-|prefix|Before or in front|una|Panlaping nangangahulugang nauuna|To foresee is to see beforehand.
out-|prefix|Beyond or more than|higit|Panlaping nangangahulugang higit pa|To outrun is to run faster than another.
de-|prefix|To remove or reverse|alis|Panlaping nangangahulugang pag-alis|To defrost is to remove frost.
en-|prefix|To cause to be|maging|Panlaping nangangahulugang gawing|To enlarge is to make larger.
il-|prefix|Not, used before l|hindi|Panlaping hindi na ginagamit bago ang l|Illegal means not legal.
im-|prefix|Not, used before m and p|hindi|Panlaping hindi na ginagamit bago ang m at p|Impossible means not possible.
ir-|prefix|Not, used before r|hindi|Panlaping hindi na ginagamit bago ang r|Irregular means not regular.
in-|prefix|Not, or into|hindi|Panlaping nangangahulugang hindi o papasok|Incomplete means not complete.
-able|suffix|Able to be, forming adjectives|kaya|Hulaping nangangahulugang maaaring|Readable means able to be read.
-ible|suffix|Able to be, a variant of -able|kaya|Hulaping katulad ng -able|Visible means able to be seen.
-ful|suffix|Full of|puno|Hulaping nangangahulugang puno ng|Careful means full of care.
-less|suffix|Without|walang|Hulaping nangangahulugang wala|Hopeless means without hope.
-ness|suffix|The state of being, forming nouns|kalagayan|Hulaping bumubuo ng pangngalan|Kindness is the state of being kind.
-ment|suffix|The result or act of, forming nouns|pag-|Hulaping bumubuo ng pangngalan|Movement is the act of moving.
-tion|suffix|The action or result of, forming nouns|pag-|Hulaping bumubuo ng pangngalan|Creation is the act of creating.
-ity|suffix|The quality of, forming nouns|kalidad|Hulaping nagpapahayag ng katangian|Clarity is the quality of being clear.
-ly|suffix|In a certain manner, forming adverbs|nang|Hulaping bumubuo ng pang-abay|Quickly means in a quick manner.
-er|suffix|A person or thing that does something|tagapag-|Hulaping tumutukoy sa gumagawa|A teacher is one who teaches.
-or|suffix|A person or thing that does something|tagapag-|Hulaping katulad ng -er|An actor is one who acts.
-ist|suffix|A person who practises something|tagapag-|Hulaping tumutukoy sa nagsasagawa|A pianist plays the piano.
-ism|suffix|A belief or practice|-ismo|Hulaping tumutukoy sa paniniwala|Realism values things as they are.
-ish|suffix|Somewhat, or resembling|medyo|Hulaping nangangahulugang medyo|Greenish means somewhat green.
-ous|suffix|Having the quality of|may|Hulaping nangangahulugang may katangian|Dangerous means full of danger.
-ive|suffix|Having a tendency to|may hilig|Hulaping nagpapakita ng hilig|Creative means tending to create.
-al|suffix|Relating to, forming adjectives|may kaugnayan|Hulaping nangangahulugang may kinalaman|Musical relates to music.
-ic|suffix|Relating to, forming adjectives|may kaugnayan|Hulaping nangangahulugang may kinalaman|Historic relates to history.
-y|suffix|Full of or characterised by|puno ng|Hulaping nangangahulugang puno ng|Rainy means full of rain.
-en|suffix|To make, or made of|gawin|Hulaping nangangahulugang gawing|To darken is to make dark.
-ify|suffix|To make or become|gawing|Hulaping nangangahulugang gawing|To simplify is to make simple.
-ise|suffix|To make or become, British spelling|gawing|Hulaping nangangahulugang gawing|To modernise is to make modern.
-ship|suffix|A state or skill|kalagayan|Hulaping tumutukoy sa kalagayan|Friendship is the state of being friends.
-hood|suffix|A state or period of life|panahon|Hulaping tumutukoy sa yugto ng buhay|Childhood is the period of being a child.
-dom|suffix|A state or domain|kaharian|Hulaping tumutukoy sa kalagayan o nasasakupan|Freedom is the state of being free.
-ward|suffix|In the direction of|patungo|Hulaping nangangahulugang patungo|Homeward means towards home.
-wise|suffix|In the manner or direction of|paraan|Hulaping nangangahulugang sa paraang|Clockwise means in the direction of a clock.
-proof|suffix|Protected against|hindi tinatablan|Hulaping nangangahulugang protektado laban sa|Waterproof means protected against water.
-logy|suffix|The study of|pag-aaral|Hulaping tumutukoy sa pag-aaral|Biology is the study of life.
-graphy|suffix|Writing or recording about|pagsulat|Hulaping tumutukoy sa pagsulat|Geography describes the earth.
-phobia|suffix|An extreme fear of|takot|Hulaping tumutukoy sa matinding takot|Claustrophobia is fear of small spaces.

# ---------------- Word Roots ----------------
aud|noun|A root meaning to hear|dinig|Ugat na nangangahulugang pandinig|Audible and audience share the root aud.
bene|noun|A root meaning good or well|mabuti|Ugat na nangangahulugang mabuti|Benefit and benevolent share the root bene.
biblio|noun|A root meaning book|aklat|Ugat na nangangahulugang aklat|A bibliography lists books.
bio|noun|A root meaning life|buhay|Ugat na nangangahulugang buhay|Biology is the study of life.
chron|noun|A root meaning time|panahon|Ugat na nangangahulugang panahon|Chronological order follows time.
cred|noun|A root meaning to believe|paniwala|Ugat na nangangahulugang maniwala|Credible means believable.
dict|noun|A root meaning to say|sabi|Ugat na nangangahulugang magsabi|To dictate is to say aloud.
duc|noun|A root meaning to lead|akay|Ugat na nangangahulugang mangunahan|To conduct is to lead together.
fac|noun|A root meaning to make or do|gawa|Ugat na nangangahulugang gumawa|A factory is where things are made.
geo|noun|A root meaning earth|lupa|Ugat na nangangahulugang lupa|Geology studies the earth.
graph|noun|A root meaning to write|sulat|Ugat na nangangahulugang sumulat|Autograph means self-written.
ject|noun|A root meaning to throw|hagis|Ugat na nangangahulugang ihagis|To eject is to throw out.
jud|noun|A root meaning to judge|hatol|Ugat na nangangahulugang humatol|Judicial relates to judgement.
luc|noun|A root meaning light|liwanag|Ugat na nangangahulugang liwanag|Lucid means clear and bright.
man|noun|A root meaning hand|kamay|Ugat na nangangahulugang kamay|Manual work is done by hand.
mit|noun|A root meaning to send|padala|Ugat na nangangahulugang magpadala|To transmit is to send across.
mort|noun|A root meaning death|kamatayan|Ugat na nangangahulugang kamatayan|Mortal beings eventually die.
path|noun|A root meaning feeling or suffering|damdamin|Ugat na nangangahulugang damdamin|Sympathy is feeling with another.
ped|noun|A root meaning foot|paa|Ugat na nangangahulugang paa|A pedestrian travels on foot.
phon|noun|A root meaning sound|tunog|Ugat na nangangahulugang tunog|A telephone carries sound.
port|noun|A root meaning to carry|dala|Ugat na nangangahulugang magdala|To transport is to carry across.
scrib|noun|A root meaning to write|sulat|Ugat na nangangahulugang sumulat|To describe is to write about.
spec|noun|A root meaning to look|tingin|Ugat na nangangahulugang tumingin|To inspect is to look closely.
struct|noun|A root meaning to build|tayo|Ugat na nangangahulugang magtayo|To construct is to build.
tract|noun|A root meaning to pull or drag|hila|Ugat na nangangahulugang hilahin|A tractor pulls heavy loads.
vac|noun|A root meaning empty|walang laman|Ugat na nangangahulugang walang laman|A vacuum is an empty space.
ven|noun|A root meaning to come|dating|Ugat na nangangahulugang dumating|To convene is to come together.
vid|noun|A root meaning to see|kita|Ugat na nangangahulugang makita|Evidence is what can be seen.
voc|noun|A root meaning voice or call|tinig|Ugat na nangangahulugang tinig|To vocalise is to use the voice.
volv|noun|A root meaning to roll or turn|ikot|Ugat na nangangahulugang umikot|To revolve is to turn around.

# ---------------- Prepositions ----------------
above|preposition|In a higher position than something|sa itaas|Nasa mas mataas na posisyon|The lamp hangs above the table.
across|preposition|From one side to the other|patawid|Mula sa isang gilid patungo sa kabila|They walked across the bridge.
against|preposition|Touching, or in opposition to|laban sa|Nakadikit o salungat sa|He leaned against the wall.
along|preposition|Following the length of something|sa tabi|Sumusunod sa haba ng isang bagay|We strolled along the river.
amid|preposition|In the middle of|sa gitna|Nasa kalagitnaan ng|She stayed calm amid the noise.
among|preposition|Surrounded by, or in the group of|kabilang sa|Napapaligiran o kasama sa grupo|Divide the sweets among the children.
around|preposition|On every side of, or approximately|sa paligid|Sa palibot o humigit-kumulang|They sat around the fire.
behind|preposition|At the back of|sa likod|Nasa likuran ng|The garden is behind the house.
below|preposition|At a lower level than|sa ibaba|Nasa mas mababang antas|Temperatures fell below zero.
beneath|preposition|Directly under|sa ilalim|Nasa direktang ilalim|Treasure lay beneath the floor.
beside|preposition|Next to|sa tabi|Katabi ng|Sit beside me.
besides|preposition|In addition to|bukod sa|Karagdagan sa|Besides English, she speaks French.
between|preposition|In the space separating two things|sa pagitan|Nasa espasyo ng dalawang bagay|The shop is between the bank and the café.
beyond|preposition|On the far side of, or more than|lampas|Sa kabila o higit pa sa|The hills lie beyond the river.
despite|preposition|In spite of|sa kabila ng|Kahit na may hadlang|Despite the rain, we went out.
during|preposition|Throughout the time of|habang|Sa buong tagal ng|Stay quiet during the exam.
following|preposition|After|kasunod ng|Pagkatapos ng|Following the talk, there were questions.
inside|preposition|Within the limits of|sa loob|Sa loob ng hangganan|Wait inside the building.
into|preposition|Moving to the inside of|papasok sa|Papunta sa loob|She walked into the room.
near|preposition|Close to|malapit|Nasa malapit sa|We live near the station.
onto|preposition|Moving to a position on|papunta sa ibabaw|Papunta sa ibabaw ng|The cat jumped onto the shelf.
outside|preposition|Beyond the limits of|sa labas|Sa labas ng hangganan|Please wait outside the office.
over|preposition|Above, or across the top of|sa ibabaw|Sa itaas o patawid sa ibabaw|A bridge runs over the motorway.
past|preposition|Going by, or later than|lampas|Dumaraan o lampas sa|It is half past three.
regarding|preposition|About or concerning|hinggil sa|Tungkol sa|I wrote regarding your letter.
since|preposition|From a point in the past until now|mula noong|Mula sa nakaraan hanggang ngayon|She has lived here since 2010.
through|preposition|From one end or side to the other|sa pamamagitan|Mula sa isang dulo patungo sa kabila|We drove through the tunnel.
throughout|preposition|In every part of, or for the whole time|sa buong|Sa lahat ng bahagi o buong panahon|It rained throughout the night.
toward|preposition|In the direction of|patungo|Sa direksyon ng|He walked toward the gate.
towards|preposition|In the direction of, British spelling|patungo|Sa direksyon ng|She ran towards the exit.
underneath|preposition|Below or beneath|sa ilalim|Sa ibaba ng|The keys were underneath the mat.
unlike|preposition|Different from|hindi katulad|Iba sa|Unlike her brother, she enjoys maths.
until|preposition|Up to a particular time|hanggang|Hanggang sa takdang oras|Wait until Friday.
upon|preposition|On, in a formal sense|sa ibabaw|Sa ibabaw, sa pormal na paraan|Upon arrival, please sign in.
via|preposition|By way of|sa pamamagitan ng|Sa daan o paraang|We flew to Rome via Dubai.
within|preposition|Inside the limits of|sa loob ng|Sa loob ng hangganan o panahon|Reply within seven days.
without|preposition|Not having|walang|Kulang o walang|He left without his coat.

# ---------------- Articles & Determiners ----------------
definite article|noun|The word "the", pointing to something specific|tiyak na pantukoy|Pantukoy na tumutukoy sa tiyak na bagay|"The book" uses the definite article.
indefinite article|noun|The words "a" and "an", used for something general|di-tiyak na pantukoy|Pantukoy para sa pangkalahatang bagay|"A book" uses the indefinite article.
quantifier|noun|A word showing how much or how many|pananda ng dami|Salitang nagpapakita ng dami|"Many" and "some" are quantifiers.
