# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
parenthesis|noun|Marks enclosing extra information|panaklong|Mga markang bumabalot sa karagdagang impormasyon|Put extra details inside parentheses.
hyphen|noun|A mark joining words|gitling|Markang nag-uugnay ng mga salita|A hyphen joins words like well-known.
dash|noun|A mark showing a break in thought|gatlang|Markang nagpapakita ng pagputol sa kaisipan|A dash can add a sudden pause in a sentence.

# ---------------- Meaning & Vocabulary ----------------
definition|noun|The meaning of a word|kahulugan|Ang ibig sabihin ng isang salita|The dictionary gives the definition of each word.
meaning|noun|What a word or expression signifies|kahulugan|Ang tinutukoy ng isang salita o pahayag|What is the meaning of this sentence?
synonym|noun|A word with the same meaning as another|kasingkahulugan|Salitang kapareho ng kahulugan ng iba|Happy is a synonym of glad.
antonym|noun|A word with the opposite meaning|kasalungat|Salitang kasalungat ng kahulugan|Hot is the antonym of cold.
homonym|noun|A word that sounds like another but differs in meaning|magkasingtunog|Salitang kapareho ng tunog ngunit iba ang kahulugan|Bark can mean a dog sound or tree covering.
homophone|noun|A word pronounced like another|magkasingtunog na salita|Salitang magkapareho ng bigkas|See and sea are homophones.
vocabulary|noun|The set of words known or used|talasalitaan|Hanay ng mga salitang alam o ginagamit|Reading helps you build a wide vocabulary.
dictionary|noun|A book listing words and meanings|diksyunaryo|Aklat na naglilista ng mga salita at kahulugan|Look up the word in the dictionary.
thesaurus|noun|A book of synonyms and antonyms|tesawro|Aklat ng mga kasingkahulugan at kasalungat|Use a thesaurus to find better words.
term|noun|A word with a specific meaning in a subject|termino|Salitang may tiyak na kahulugan sa isang paksa|Gravity is a scientific term.
jargon|noun|Special words used by a particular group|salitang teknikal|Mga espesyal na salita ng isang grupo|Doctors use medical jargon that patients may not know.
slang|noun|Very informal words|balbal|Mga napaka-impormal na salita|The word cool as slang means excellent.
colloquial|adjective|Used in ordinary conversation|kolokyal|Ginagamit sa pang-araw-araw na usapan|Gonna is a colloquial form of going to.
formal|adjective|Following official or proper rules|pormal|Sumusunod sa opisyal o wastong tuntunin|Use formal language in a business letter.
informal|adjective|Relaxed and casual|impormal|Relaks at kaswal|We use informal language when chatting with friends.
literal|adjective|Taking words in their usual meaning|literal|Tahasang kahulugan ng salita|The literal meaning of cold is low temperature.
figurative|adjective|Using words beyond their literal meaning|matalinghaga|Paggamit ng salita nang lampas sa literal na kahulugan|Calling someone a lion is a figurative expression.
idiom|noun|A phrase whose meaning is not literal|idyoma|Pariralang ang kahulugan ay hindi literal|Break the ice is an idiom meaning to start a conversation.
expression|noun|A word or phrase used to communicate|ekspresyon|Salita o pariralang ginagamit sa pakikipag-usap|How are you is a common greeting expression.

# ---------------- Grammar Rules ----------------
grammar|noun|The rules of a language|balarila|Mga tuntunin ng isang wika|Good grammar makes your writing clear.
syntax|noun|The arrangement of words in sentences|sintaks|Pagsasaayos ng mga salita sa pangungusap|English syntax usually puts the subject first.
tense|noun|The form of a verb showing time|panahunan|Anyong ng pandiwa na nagpapakita ng panahon|The verb changes tense to show time.
past tense|noun|A verb form showing the past|nagdaan|Anyong pandiwa na nagpapakita ng nakaraan|Walked is the past tense of walk.
present tense|noun|A verb form showing the present|pangkasalukuyan|Anyong pandiwa na nagpapakita ng kasalukuyan|Walks is the present tense of walk.
future tense|noun|A verb form showing the future|panghinaharap|Anyong pandiwa na nagpapakita ng hinaharap|Will walk is the future tense of walk.
singular|adjective|Referring to one person or thing|isahan|Tumutukoy sa isang tao o bagay|The word child is singular.
plural|adjective|Referring to more than one|maramihan|Tumutukoy sa higit sa isa|The word children is plural.
agreement|noun|The matching of subject and verb|pagkakatugma|Pagkakatugma ng simuno at pandiwa|Subject and verb must show agreement.
conjugation|noun|The changing of a verb to show tense or person|pagbabanghay|Pagbabago ng pandiwa ayon sa panahon o panauhan|The conjugation of be includes am, is, and are.
comparative|adjective|Comparing two things|pahambing|Naghahambing ng dalawang bagay|Taller is the comparative form of tall.
superlative|adjective|Expressing the highest degree|pasukdol|Nagpapahayag ng pinakamataas na antas|Tallest is the superlative form of tall.
active voice|noun|When the subject performs the action|tahasan|Kapag ang simuno ang gumagawa ng kilos|The dog bit the boy is in the active voice.
passive voice|noun|When the subject receives the action|balintiyak|Kapag ang simuno ang tumatanggap ng kilos|The boy was bitten is in the passive voice.
modifier|noun|A word that describes another word|panuring|Salitang naglalarawan sa ibang salita|In very tall, the word very is a modifier.
gerund|noun|A verb form ending in -ing used as a noun|pangngalang pandiwa|Anyong pandiwa na nagtatapos sa -ing na ginagamit bilang pangngalan|Swimming is a gerund used as a noun.
infinitive|noun|The base form of a verb with to|pawatas|Batayang anyo ng pandiwa na may to|To read is an infinitive.
participle|noun|A verb form used as an adjective|pandiwari|Anyong pandiwa na ginagamit bilang pang-uri|In boiling water, boiling is a participle.
direct speech|noun|The exact words spoken by someone|tuwirang pananalita|Eksaktong mga salitang sinabi ng isang tao|She said, I am tired is direct speech.
indirect speech|noun|A report of what was said without exact words|di-tuwirang pananalita|Pag-uulat ng sinabi nang walang eksaktong salita|She said that she was tired is indirect speech.

# ---------------- Pronunciation & Speech ----------------
pronunciation|noun|The way a word is spoken|pagbigkas|Paraan ng pagsasalita ng isang salita|Her pronunciation of the word was perfect.
pronounce|verb|To say a word correctly|bigkasin|Sabihin nang wasto ang isang salita|Can you pronounce this difficult word?
enunciate|verb|To speak clearly|bigkasin nang malinaw|Magsalita nang malinaw|Please enunciate so everyone can hear you.
articulate|verb|To express clearly and effectively|malinaw na ipahayag|Ipahayag nang malinaw at mabisa|She articulated her ideas very well.
accent|noun|A distinct way of pronouncing a language|aksento|Natatanging paraan ng pagbigkas ng wika|He speaks English with a French accent.
stress|noun|Emphasis given to a syllable|diin|Pagbibigay-diin sa isang pantig|Put the stress on the first syllable.
intonation|noun|The rise and fall of the voice|intonasyon|Pagtaas at pagbaba ng boses|Rising intonation often signals a question.
fluent|adjective|Able to speak smoothly and easily|matatas|Kayang magsalita nang madali at maayos|She is fluent in three languages.
fluency|noun|The ability to speak smoothly|katatasan|Kakayahang magsalita nang maayos|Practice improves your fluency.
articulation|noun|Clear and precise pronunciation|malinaw na pagbigkas|Malinaw at tiyak na pagbigkas|Good articulation helps listeners understand.
voice|noun|The sound made when speaking|boses|Tunog na nalilikha sa pagsasalita|She has a soft voice.
tone|noun|The quality or pitch of the voice|tono|Kalidad o taas-baba ng boses|His tone suggested he was annoyed.
pitch|noun|How high or low a sound is|tono|Kung gaano kataas o kababa ang tunog|She raised the pitch of her voice at the end.
volume|noun|How loud or soft a sound is|lakas|Kung gaano kalakas o kahina ang tunog|Lower the volume of your voice in the library.
whisper|verb|To speak very softly|bumulong|Magsalita nang napakahina|She whispered the secret in my ear.
shout|verb|To speak very loudly|sumigaw|Magsalita nang napakalakas|Do not shout in the classroom.
mumble|verb|To speak unclearly|bumulung-bulong|Magsalita nang hindi malinaw|He mumbled so I could not understand him.
stutter|verb|To repeat sounds when speaking|mautal|Ulitin ang mga tunog kapag nagsasalita|He began to stutter when he got nervous.
pause|noun|A brief stop in speaking|paghinto|Sandaling pagtigil sa pagsasalita|Take a pause between main ideas.

# ---------------- Speaking & Conversation ----------------
speak|verb|To say words|magsalita|Magsabi ng mga salita|Please speak clearly to the audience.
talk|verb|To speak with someone|makipag-usap|Makipagsalita sa iba|Let us talk about the plan tomorrow.
say|verb|To express in words|sabihin|Ipahayag sa mga salita|What did you say to him?
tell|verb|To give information|sabihin|Magbigay ng impormasyon|Tell me what happened.
conversation|noun|An informal talk between people|pag-uusap|Impormal na usapan ng mga tao|We had a long conversation over coffee.
dialogue|noun|A conversation between two people|diyalogo|Usapan ng dalawang tao|The play opens with a dialogue between friends.
discussion|noun|A talk about a topic|talakayan|Usapan tungkol sa isang paksa|The class had a discussion about the story.
debate|noun|A formal argument on a topic|deklamasyon|Pormal na pagtatalo sa isang paksa|The two teams joined a debate on school uniforms.
argument|noun|A disagreement with reasons|pagtatalo|Di-pagkakasundo na may mga dahilan|They had an argument about money.
negotiate|verb|To discuss to reach an agreement|makipagkasundo|Makipag-usap upang magkasundo|The two sides negotiated a fair deal.
persuade|verb|To convince someone to do something|manghikayat|Kumbinsihin ang isang tao|She persuaded me to join the club.
convince|verb|To make someone believe|kumbinsihin|Paniniwalaan ang isang tao|He convinced the judge he was honest.
express|verb|To show a thought or feeling|ipahayag|Ipakita ang isipan o damdamin|Express your opinion clearly.
state|verb|To say formally|sabihin nang pormal|Ipahayag nang pormal|Please state your name and address.
declare|verb|To announce officially|ipahayag|Ibalita nang opisyal|The president declared a holiday.
announce|verb|To make known publicly|ibalita|Ipaalam sa publiko|They announced the winner on stage.
mention|verb|To refer to briefly|banggitin|Tukuyin nang panandalian|Did she mention the meeting time?
explain|verb|To make clear|ipaliwanag|Linawin ang isang bagay|Can you explain how this works?
describe|verb|To give details about|ilarawan|Magbigay ng detalye tungkol sa|Describe the person you saw.
clarify|verb|To make easier to understand|linawin|Padaliin ang pagkaunawa|Let me clarify my earlier point.
elaborate|verb|To add more detail|palawakin|Magdagdag ng detalye|Could you elaborate on that idea?
summarize|verb|To give the main points|ibuod|Ibigay ang pangunahing mga punto|Summarize the article in two sentences.
paraphrase|verb|To restate in different words|sabihin sa sariling salita|Isalaysay muli sa ibang salita|Paraphrase the quote in your own words.
quote|verb|To repeat exact words|sipiin|Ulitin ang eksaktong salita|He quoted the famous line from the play.
respond|verb|To answer or react|tumugon|Sumagot o tumugon|She responded quickly to my message.
reply|verb|To answer|sumagot|Magbigay ng sagot|He replied to my email this morning.
interrupt|verb|To cut in while someone speaks|sumabad|Pumasok habang nagsasalita ang iba|Do not interrupt when others are talking.
repeat|verb|To say again|ulitin|Sabihing muli|Could you repeat the question?
emphasize|verb|To give special importance|bigyang-diin|Bigyan ng espesyal na halaga|The teacher emphasized the main point.
ask|verb|To request information|magtanong|Humiling ng impormasyon|May I ask you a question?
greet|verb|To welcome or say hello|bumati|Batiin o kumustahin|She greeted the guests at the door.
introduce|verb|To present someone to another|ipakilala|Iprisinta ang isang tao sa iba|Let me introduce you to my friend.
compliment|verb|To praise someone|purihin|Puriin ang isang tao|He complimented her on her speech.
apologize|verb|To say sorry|humihingi ng paumanhin|Humingi ng tawad|I apologize for being late.
thank|verb|To express gratitude|magpasalamat|Magpahayag ng pasasalamat|Thank you for your help.
promise|verb|To say one will do something|mangako|Sabihing gagawin ang isang bagay|I promise to call you tonight.
agree|verb|To have the same opinion|sumang-ayon|Magkaroon ng parehong opinyon|I agree with your idea.
disagree|verb|To have a different opinion|hindi sumang-ayon|Magkaroon ng ibang opinyon|We disagree about the best route.
refuse|verb|To say no to something|tumanggi|Tumanggi sa isang bagay|He refused the offer politely.
accept|verb|To agree to take something|tanggapin|Sumang-ayon na kunin ang isang bagay|She accepted the invitation.
invite|verb|To ask someone to come|anyayahan|Anyayahan ang isang tao|They invited us to the party.
warn|verb|To tell of possible danger|magbabala|Magsabi ng posibleng panganib|I warned him about the storm.
advise|verb|To give suggestions|magpayo|Magbigay ng mungkahi|The doctor advised her to rest.
suggest|verb|To offer an idea|magmungkahi|Magbigay ng ideya|I suggest we leave early.
recommend|verb|To advise as good|irekomenda|Imungkahi bilang mabuti|Can you recommend a good book?
demand|verb|To ask forcefully|humingi nang mahigpit|Humiling nang may puwersa|The customer demanded a refund.
request|verb|To ask for something politely|humiling|Humiling nang magalang|I would like to request more time.
insist|verb|To demand firmly|igiit|Ipilit nang matatag|She insisted on paying the bill.
claim|verb|To say something is true|angkinin|Sabihing totoo ang isang bagay|He claims he saw the accident.
admit|verb|To confess|aminin|Aminin ang isang bagay|She admitted she made a mistake.
confess|verb|To admit wrongdoing|umamin|Aminin ang nagawang mali|He confessed to taking the money.
deny|verb|To say something is not true|itanggi|Sabihing hindi totoo|He denied breaking the window.
confirm|verb|To state that something is true|kumpirmahin|Sabihing totoo ang isang bagay|Please confirm your attendance.
doubt|verb|To be unsure about|pagdudahan|Hindi sigurado sa isang bagay|I doubt that the story is true.
believe|verb|To accept as true|maniwala|Tanggapin bilang totoo|I believe you are right.
consider|verb|To think about carefully|isaalang-alang|Pag-isipan nang mabuti|Consider all the options first.
assume|verb|To suppose without proof|ipalagay|Ipagpalagay nang walang patunay|Do not assume everyone agrees.
conclude|verb|To decide after reasoning|magpasiya|Magpasya pagkatapos mag-isip|From the evidence, we concluded he was safe.
compare|verb|To find similarities and differences|ihambing|Hanapin ang pagkakatulad at pagkakaiba|Compare the two poems carefully.
contrast|verb|To show differences|ipagkaiba|Ipakita ang mga pagkakaiba|The essay contrasts city and country life.
illustrate|verb|To explain with examples|ilarawan|Ipaliwanag gamit ang mga halimbawa|He illustrated his point with a story.
demonstrate|verb|To show how something works|ipakita|Ipakita kung paano gumagana|She demonstrated how to use the tool.
define|verb|To explain the meaning of|bigyang-kahulugan|Ipaliwanag ang kahulugan ng isang bagay|Define the word courage.
interpret|verb|To explain the meaning of|bigyang-kahulugan|Ipaliwanag ang kahulugan|How do you interpret this poem?
translate|verb|To change words into another language|isalin|Palitan ang mga salita sa ibang wika|Please translate this into English.
transcribe|verb|To write down what is spoken|itala|Isulat ang sinasabi|The assistant transcribed the interview.
narrate|verb|To tell a story|isalaysay|Ikuwento ang isang kwento|She narrated the story of her journey.
report|verb|To give information about something|iulat|Magbigay ng impormasyon tungkol sa isang bagay|The journalist reported the news.
address|verb|To speak to an audience|magtalumpati|Magsalita sa mga tagapakinig|The mayor addressed the crowd.
present|verb|To show or explain to an audience|iprisinta|Ipakita o ipaliwanag sa mga tagapakinig|She will present her research tomorrow.
lecture|verb|To give a formal talk|maglektyur|Magbigay ng pormal na pahayag|The professor lectures on history.
communicate|verb|To share information|makipag-usap|Magbahagi ng impormasyon|We communicate through email.
converse|verb|To have a conversation|makipag-usap|Makipagtalakayan|They conversed for hours.
chat|verb|To talk informally|makipagkwentuhan|Makipag-usap nang impormal|We chatted about our weekend.
discuss|verb|To talk about a topic|talakayin|Pag-usapan ang isang paksa|Let us discuss the new plan.
inform|verb|To give information to someone|ipaalam|Magbigay ng impormasyon sa isang tao|Please inform me of any changes.
notify|verb|To inform officially|ipaalam|Ipagbigay-alam nang opisyal|The school notified the parents.
broadcast|verb|To send out by radio or television|i-brodkast|Ipadala sa radyo o telebisyon|The station broadcasts news at noon.
publish|verb|To make available to the public|ilathala|Ilabas para sa publiko|The magazine publishes new stories weekly.
edit|verb|To correct and improve writing|mag-edit|Iwasto at pagbutihin ang sulat|She edited the article before sending it.
proofread|verb|To check writing for errors|magwasto|Suriin ang sulat para sa mga mali|Always proofread your essay.
revise|verb|To change to improve|rebisahin|Baguhin upang pagbutihin|Revise your draft before submitting.
draft|verb|To write a first version|bumuo ng burador|Sumulat ng unang bersyon|I will draft the letter tonight.

# ---------------- Listening & Understanding ----------------
listen|verb|To pay attention to sound|makinig|Magbigay-pansin sa tunog|Listen carefully to the instructions.
hear|verb|To notice sound|marinig|Mapansin ang tunog|I could hear music from the next room.
comprehend|verb|To understand fully|maunawaan|Lubos na maintindihan|It took time to comprehend the theory.
understand|verb|To grasp the meaning|maintindihan|Makuha ang kahulugan|Do you understand the lesson?
misunderstand|verb|To understand incorrectly|magkamali ng unawa|Hindi wasto ang pagkaunawa|I think you misunderstood my words.
infer|verb|To conclude from evidence|mahinuha|Maghinuha mula sa ebidensya|We can infer she was upset from her tone.
imply|verb|To suggest without saying directly|ipahiwatig|Magpahiwatig nang hindi direktang sinasabi|His silence seemed to imply agreement.
attention|noun|The act of focusing on something|pansin|Pagtuon sa isang bagay|Pay attention to the speaker.
listener|noun|A person who listens|tagapakinig|Taong nakikinig|A good listener does not interrupt.
audience|noun|People who listen or watch|manonood|Mga taong nakikinig o nanonood|The audience clapped at the end.
feedback|noun|A response to a message|puna|Tugon sa isang mensahe|The teacher gave feedback on my essay.
comment|noun|A remark or opinion|komento|Isang puna o opinyon|She left a kind comment on my post.
opinion|noun|A personal belief or judgment|opinyon|Personal na paniniwala o paghatol|In my opinion, the film was too long.
viewpoint|noun|A way of seeing things|pananaw|Paraan ng pagtingin sa mga bagay|Consider the problem from another viewpoint.
perspective|noun|A point of view|pananaw|Isang pananaw|Travel gives you a new perspective.
context|noun|The situation around a message|konteksto|Ang sitwasyon sa paligid ng mensahe|The word makes sense only in context.
nonverbal|adjective|Without using words|di-berbal|Walang paggamit ng salita|A nod is a form of nonverbal communication.
gesture|noun|A movement that communicates|kumpas|Kilos na nagpapahayag|He made a gesture to show he agreed.
body language|noun|Communication through posture and movement|wika ng katawan|Pakikipag-usap sa pamamagitan ng postura at kilos|Her body language showed she was nervous.
facial expression|noun|A look that shows emotion|ekspresyon ng mukha|Hitsura ng mukha na nagpapakita ng damdamin|His facial expression revealed surprise.
eye contact|noun|Looking directly into someone's eyes|pagtingin sa mata|Direktang pagtingin sa mata ng iba|Keep eye contact during an interview.
signal|noun|A sign that communicates|senyas|Tanda na nagpapahayag|The whistle was a signal to stop.
sign|noun|A mark or gesture with meaning|tanda|Marka o kilos na may kahulugan|The sign shows the way to the exit.
symbol|noun|Something that stands for something else|sagisag|Bagay na kumakatawan sa ibang bagay|The dove is a symbol of peace.
message|noun|Information that is communicated|mensahe|Impormasyong ipinapahayag|Did you get my message?
information|noun|Facts about something|impormasyon|Mga katotohanan tungkol sa isang bagay|The website has useful information.
news|noun|New information about events|balita|Bagong impormasyon tungkol sa mga pangyayari|Have you heard the news today?
rumor|noun|Unverified information|tsismis|Hindi beripikadong impormasyon|The rumor spread quickly through school.
gossip|noun|Talk about other people's private lives|tsismis|Usapan tungkol sa pribadong buhay ng iba|She avoids gossip about her coworkers.

# ---------------- Writing ----------------
write|verb|To form letters or words|sumulat|Gumawa ng mga titik o salita|Write your name at the top.
read|verb|To understand written words|magbasa|Unawain ang nakasulat na salita|I read a book every night.
author|noun|A person who writes books|may-akda|Taong sumusulat ng mga aklat|The author signed copies of her novel.
writer|noun|A person who writes|manunulat|Taong nagsusulat|He works as a newspaper writer.
essay|noun|A short piece of writing|sanaysay|Maikling sulatin|She wrote an essay about her hometown.
composition|noun|A written work|komposisyon|Isang nakasulat na gawain|The students submitted a short composition.
note|noun|A short written record|tala|Maikling nakasulat na rekord|She left a note on the door.
summary|noun|A brief statement of main points|buod|Maikling pahayag ng pangunahing mga punto|Write a one-page summary of the chapter.
outline|noun|A plan of the main points|balangkas|Plano ng pangunahing mga punto|Create an outline before writing the essay.
heading|noun|A title of a section|pamagat|Titulo ng isang bahagi|Each section has a clear heading.
title|noun|The name of a written work|pamagat|Pangalan ng isang nakasulat na gawain|What is the title of the book?
topic|noun|The subject of a text|paksa|Ang paksa ng isang teksto|The topic of the essay is friendship.
thesis|noun|The main argument of a paper|tesis|Pangunahing argumento ng isang papel|State your thesis in the first paragraph.
introduction|noun|The opening part of a text|panimula|Pambungad na bahagi ng teksto|The introduction should grab the reader's attention.
conclusion|noun|The final part of a text|konklusyon|Pangwakas na bahagi ng teksto|The conclusion sums up the main idea.
body|noun|The main part of a text|katawan|Pangunahing bahagi ng teksto|The body of the essay has three paragraphs.
detail|noun|A small piece of information|detalye|Maliit na piraso ng impormasyon|Add more detail to support your point.
description|noun|A statement of what something is like|paglalarawan|Pahayag ng hitsura ng isang bagay|The story opens with a description of the house.
narration|noun|The telling of a story|pagsasalaysay|Pagkukuwento|The narration keeps the reader interested.
story|noun|An account of events|kwento|Tala ng mga pangyayari|She told a funny story about her trip.
plot|noun|The main events of a story|banghay|Pangunahing mga pangyayari ng kwento|The plot has a surprising twist.
character|noun|A person in a story|tauhan|Tao sa isang kwento|The main character is a brave girl.
setting|noun|Where and when a story happens|tagpuan|Saan at kailan naganap ang kwento|The setting is a small village in winter.
theme|noun|The central idea of a text|tema|Pangunahing ideya ng isang teksto|The theme of the novel is courage.
genre|noun|A category of writing|uri|Kategorya ng sulatin|Mystery is my favorite genre.
fiction|noun|Stories that are invented|kathang-isip|Mga kwentong inimbento|She prefers fiction over history books.
nonfiction|noun|Writing based on facts|di-kathang-isip|Sulating batay sa katotohanan|Biographies are a kind of nonfiction.
poetry|noun|Writing with rhythm and imagery|tula|Sulating may ritmo at imahen|She enjoys reading poetry aloud.
poem|noun|A piece of poetry|tula|Isang akdang patula|He wrote a short poem about the sea.
verse|noun|A line of poetry|taludtod|Linya ng tula|The poem has four verses.
stanza|noun|A group of lines in a poem|saknong|Grupo ng mga taludtod sa tula|The first stanza sets the mood.
rhyme|noun|Similar sounds at the ends of words|tugma|Magkatulad na tunog sa dulo ng mga salita|Cat and hat form a rhyme.
rhythm|noun|A pattern of sounds|ritmo|Huwaran ng mga tunog|The poem has a steady rhythm.
metaphor|noun|A comparison without using like or as|metapora|Paghahambing na hindi gumagamit ng tulad o gaya|Time is a thief is a metaphor.
simile|noun|A comparison using like or as|pagtutulad|Paghahambing na gumagamit ng tulad o gaya|As brave as a lion is a simile.
personification|noun|Giving human traits to non-human things|pagsasatao|Paglalapat ng katangiang tao sa di-tao|The wind whispered is an example of personification.
hyperbole|noun|An exaggeration for effect|pagmamalabis|Pagpapalabis para sa epekto|I am so hungry I could eat a horse is hyperbole.
alliteration|noun|Repetition of initial sounds|aliterasyon|Pag-uulit ng unang tunog|Peter Piper picked is an example of alliteration.
onomatopoeia|noun|A word that imitates a sound|onomatopeya|Salitang gumagaya sa tunog|Buzz and hiss are examples of onomatopoeia.
